RideID,LatOrigem,LongOrigem,LatDestino,LongDestino,Distancia_KM,Estimatives
1183200,-26.329.754.299.999.900,-48.840.427.999.999.900,-262.554.657,-486.434.197,47.45,"{'Flash': 89.0, 'UberX': 89.0, 'Comfort': 116.5, 'poupa99': 170.21, 'pop99': 170.21, 'turbo-taxi': 151.05, 'regular-taxi': 151.05}"
1183201,-274.919.788,-48.528.287.999.999.900,-274.371.486,-4.839.824.309.999.990,17.85,"{'Flash': 31.5, 'Comfort': 33.5, 'poupa99': 26.91, 'pop99': 29.14, 'turbo-taxi': 51.93, 'regular-taxi': 57.7, 'UberX': 31.5}"
1183202,-198.495.799,-44.019.915.999.999.900,-19.936.899,-439.401.603,16.62,"{'Moto': 25.5, 'Comfort': 44.0, 'UberFlash': 42.0, 'poupa99': 74.8, 'pop99': 74.8, 'turbo-taxi': 62.16, 'regular-taxi': 58.99, 'UberX': 42.0}"
1183203,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'Flash': 47.5, 'pop99': 63.69, 'Comfort': 68.5, 'turbo-taxi': 118.16, 'regular-taxi': 138.95, 'UberX': 47.5}"
1183204,-109.198.019,-37.077.441.799.999.900,-109.071.288,-370.877.194,3.22,"{'poupa99': 7.88, 'pop99': 7.88, 'turbo-taxi': 17.49, 'regular-taxi': 17.49, 'Moto': 5.5, 'Uber Flash': 7.5, 'Comfort': 9.5, 'UberX': 7.5}"
1183205,-228.735.015,-435.714.019,-229.173.726,-436.330.438,11.64,"{'poupa99': 14.69, 'pop99': 19.51, 'turbo-taxi': 53.47, 'regular-taxi': 53.47, 'Comfort': 30.5, 'UberFlash': 17.5, 'Black': 41.0, 'UberX': 17.5}"
1183206,-235.542.807,-46.662.731.799.999.900,-237.342.905,-466.986.279,27.14,"{'UberX': 46.5, 'Comfort': 71.5, 'Flash': 43.0, 'Black': 125.0, 'Bag': 59.0, 'Black Bag': 149.0, 'Taxi': 88.0, 'Uber Promo': 40.0}"
1183207,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'turbo-taxi': 118.16, 'regular-taxi': 138.95, 'Flash': 47.5, 'Comfort': 68.5, 'UberX': 47.5, 'pop99': 63.69}"
1183208,-198.495.393,-440.199.286,-19.936.899,-439.401.603,16.62,"{'poupa99': 71.3, 'pop99': 71.3, 'turbo-taxi': 62.87, 'Moto': 25.0, 'UberX': 42.0, 'Comfort': 44.0, 'UberFlash': 42.0, 'regular-taxi': 59.69}"
1183209,-8.025.770.999.999.990,-34.874.474.899.999.900,-80.296.839,-349.440.369,11.04,"{'Flash': 18.0, 'Flash Moto': 12.0, 'Comfort': 25.0, 'pop99': 22.88, 'turbo-taxi': 33.48, 'regular-taxi': 33.25, 'UberX': 18.0}"
